articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
3-10-2014_PS,figure,0.684,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.051,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.648,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.068,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.564,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.07,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.41,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.056,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.696,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.045,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.737,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.063,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.727,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.072,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.686,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.086,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.947,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.016,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.958,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.014,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.976,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.007,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.972,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.013,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.67,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.06,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.552,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.077,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.476,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.088,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.684,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.051,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.422,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.076,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.634,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.066,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.36,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.076,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.354,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.076,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.416,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.069,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.792,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.055,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.598,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.076,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.856,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.025,se,NA,MATCH,TRUE
3-10-2014_PS,figure,0.948,mean,NA,MATCH,TRUE
3-10-2014_PS,figure,0.013,se,NA,MATCH,TRUE
3-10-2014_PS,6,6,df,0,MATCH,NA
3-10-2014_PS,342,342,df,0,MATCH,NA
3-10-2014_PS,3.35,3.15,F,5.970149253731349,MINOR_ERROR,NA
3-10-2014_PS,p < .01,0.0051,p,NA,MATCH,TRUE
3-10-2014_PS,0.05,0.06,pes,19.99999999999999,MAJOR_ERROR,NA
3-10-2014_PS,p < .01,8.204463725960398e-4,p,NA,MATCH,TRUE
3-10-2014_PS,p < .01,0.014522461585796287,p,NA,EYEBALL_ERROR,FALSE
3-10-2014_PS,p < .01,4.564017196786452e-4,p,NA,MATCH,TRUE
3-10-2014_PS,<.01,9.523747343589406e-4,p,NA,MATCH,TRUE
3-10-2014_PS,0.09,0.02,p,77.77777777777777,DECISION_ERROR,NA
3-10-2014_PS,p < .01,3.673672160942054e-5,p,NA,MATCH,TRUE
3-10-2014_PS,p > .9,4.587240720244079e-5,p,NA,EYEBALL_ERROR,FALSE
3-10-2014_PS,p > .9,0.19441922142883272,p,NA,EYEBALL_ERROR,FALSE
